Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);23.2955;23.2955;23.8196;03-Apr-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);23.3431;23.3431;23.8683;04-Apr-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);23.7481;23.7481;24.2824;05-Apr-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);23.5955;23.5955;24.1264;07-Apr-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);23.7055;23.7055;24.2389;10-Apr-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);23.3299;23.3299;23.8548;12-Apr-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);22.8765;22.8765;23.3912;13-Apr-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);23.4984;23.4984;24.0271;17-Apr-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);23.8227;23.8227;24.3587;18-Apr-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);23.9628;23.9628;24.502;19-Apr-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);24.2406;24.2406;24.786;20-Apr-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);24.0799;24.0799;24.6217;21-Apr-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);24.1098;24.1098;24.6523;24-Apr-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);23.7889;23.7889;24.3242;25-Apr-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);24.2971;24.2971;24.8438;26-Apr-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);24.0786;24.0786;24.6204;27-Apr-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);24.0132;24.0132;24.5535;28-Apr-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);25.1217;25.1217;25.6869;02-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);25.3275;25.3275;25.8974;03-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);25.2674;25.2674;25.8359;04-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);25.4176;25.4176;25.9895;05-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);25.5919;25.5919;26.1677;08-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);25.6636;25.6636;26.241;09-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);25.8687;25.8687;26.4507;10-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);25.6488;25.6488;26.2259;11-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);25.3779;25.3779;25.9489;12-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);23.9946;23.9946;24.5345;15-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);23.9255;23.9255;24.4638;16-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);24.7635;24.7635;25.3207;17-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);22.9847;22.9847;23.5019;18-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);22.0667;22.0667;22.5632;19-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);20.6074;20.6074;21.0711;22-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);21.3762;21.3762;21.8572;23-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);20.998;20.998;21.4705;24-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);21.1166;21.1166;21.5917;25-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);21.587;21.587;22.0727;26-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);21.8405;21.8405;22.3319;29-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);21.6547;21.6547;22.1419;30-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);20.9476;20.9476;21.4189;31-May-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);20.0618;20.0618;20.5132;01-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);20.4507;20.4507;20.9108;02-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);20.1179;20.1179;20.5706;05-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);19.6194;19.6194;20.0608;06-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);18.4771;18.4771;18.8928;07-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);17.4329;17.4329;17.8251;08-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);18.5867;18.5867;19.0049;09-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);18.0856;18.0856;18.4925;12-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);17.0397;17.0397;17.4231;13-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);16.7534;16.7534;17.1304;14-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);17.7109;17.7109;18.1094;15-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);18.1932;18.1932;18.6025;16-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);18.3985;18.3985;18.8125;19-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);18.2776;18.2776;18.6888;20-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);18.6319;18.6319;19.0511;21-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);19.2647;19.2647;19.6982;22-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);19.4115;19.4115;19.8483;23-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);18.6721;18.6721;19.0922;26-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);19.328;19.328;19.7629;27-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);18.7108;18.7108;19.1318;28-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);18.7679;18.7679;19.1902;29-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);19.6619;19.6619;20.1043;30-Jun-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);19.6848;19.6848;20.1277;03-Jul-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);19.7107;19.7107;20.1542;04-Jul-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);19.9383;19.9383;20.3869;05-Jul-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);19.7772;19.7772;20.2222;06-Jul-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);19.3328;19.3328;19.7678;07-Jul-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);19.5724;19.5724;20.0128;10-Jul-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);19.4105;19.4105;19.8472;11-Jul-2006
101672;Tata Equity P/E Fund Regular Plan -(Growth Option);19.6638;19.6638;20.1062;12-Jul-2006
